Thickness,Sat,FC,WP,Ksat,Penetrability,Gravel,CRa,CRb,description
0.05,48,41,26,128.29290741135677,100,7,-0.4870536383329779,0.18739217945354048,ClLo
0.09999999999999999,46,39,26,132.85698336496603,100,7,-0.486642871497153,0.20409475245346087,ClLo
0.15,44,38,26,119.00904196937232,100,8,-0.48788918622275645,0.15150150827626563,"Cl, ClLo"
0.3,43,37,26,117.83838912854722,100,10,-0.5423292886971622,1.4520665502937167,Cl
